Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
9.06,1.06,0.94,1.688,K5III:,14.186529,1
9.16,4.81,1.11,0.232,A2III,17.570724,1
8.82,1.39,1.31,0.979,G8/K0III,14.535074,1
11.14,1.86,2.09,0.041,A0V,17.487564,0
6.24,0.93,0.57,0.332,B3Ia,11.082415,1
9.44,5.68,4.61,0.439,F3V,18.211742,0
6.96,15.84,0.81,0.353,F2V,17.958775,0
7.94,2.79,0.95,-0.023,B2IVne+...,15.168021,1
8.69,0.81,0.87,0.12,B8V,13.232425,0
9.01,2.11,1.04,0.956,G8III,15.6314125,1
8.55,1.38,1.06,1.212,K1IV/VCN...,14.249395,1
8.68,3.48,1.17,1.011,K0III,16.387897,1
7.78,15.26,1.03,0.563,F8/G0V,18.697773,0
8.29,13.14,0.97,0.488,F6V,18.882977,0
9.67,2.83,1.45,0.397,F0V,16.928932,0
8.24,25.29,1.11,0.78,G8V,20.254744,0
8.44,9.67,0.86,0.508,F5V,18.36713,0
4.55,14.31,0.92,-0.047,B9IVn,15.328198,1
7.66,20.44,0.96,0.741,G5IV,19.212406,1
8.59,14.36,2.44,0.616,G2V,19.375772,0
8.54,4.59,1.04,0.23,A7V,16.849064,0
9.58,12.24,1.44,0.7,G5V,20.018908,0
8.59,-0.56,0.85,0.36,B0Ibp,12.33094,1
8.01,10.62,1.46,0.406,F3/F5V,18.140623,0
9.62,6.67,0.97,0.657,F8V,18.740627,0
7.91,5.53,0.62,0.314,F0III/IV,16.623627,1
9.45,2.07,1.37,1.115,G8/K0IV,16.029852,1
8.93,9.88,1.18,0.607,G2/G3V,18.903786,0
7.65,3.93,0.97,0.992,G8IV,15.6219635,1
7.09,4.24,0.92,-0.085,B8V,15.22683,0
5.9,0.89,0.58,0.274,A1III,10.64695,1
8.41,6.58,0.94,0.563,F6V,17.50113,0
9.05,5.54,1.44,0.16,A1/A2IV/V,17.767548,1
8.55,4.12,0.84,0.037,A1V,16.624485,0
8.11,14.91,1.01,0.484,F6V,18.977386,0
9.44,0.58,1.57,1.069,G8IV,13.257139,1
9.6,7.92,1.55,0.549,G0V,19.093628,0
5.78,11.29,0.92,1.084,K0III,16.04347,1
6.38,7.75,0.91,0.006,A1V,15.8265085,0
8.8,5.27,1.12,1.031,K1III,17.409054,1
7.79,2.46,0.85,-0.089,B3V,14.744676,0
7.77,4.1,1.06,-0.058,B8/B9V,15.83392,0
9.8,22.52,1.48,0.855,K0V,21.562843,0
4.99,2.03,0.93,1.619,K3Ibvar,11.52748,1
7.33,10.92,0.64,0.444,F2V,17.521114,0
8.93,0.95,0.79,1.025,G8III,13.818619,1
9.09,17.09,0.88,0.639,G3/G5III/IV,20.253712,1
8.73,3.4,0.93,1.036,K0III,16.387394,1
9.18,-0.43,1.49,1.169,K2III,12.3473425,1
8.12,2.15,1.05,2.53,C5II,14.782192,1
9.26,1.99,1.57,1.149,K0III,15.754265,1
8.94,1.59,1.32,1.181,K1IV,14.946985,1
6.11,1.94,1.12,0.159,B9III,12.549009,1
9.13,1.38,0.79,0.239,A2/A3IV,14.829395,1
7.13,2.46,0.81,1.26,K1III,14.084676,1
7.46,4.15,0.66,1.072,K0/K1III,15.5502405,1
5.59,5.7,0.53,-0.1,B8III,14.369374,1
7.37,11.46,0.84,0.422,F5IV,17.665924,1
5.68,10.3,0.58,1.051,K1III,15.744186,1
9.06,4.16,1.2,0.368,F0V,17.155468,0
8.28,5.65,1.16,0.002,A0IV,17.040241,1
6.09,27.18,4.3,0.632,G2V,18.261248,0
8.31,3.15,1.1,0.036,A0IV/V,15.801554,1
7.83,2.91,0.97,1.256,K2III,15.149465,1
6.61,2.13,0.82,0.025,B3V,13.251898,0
6.25,5.34,0.77,1.368,K4IIIb,14.887706,1
7.82,39.06,0.93,0.755,G9V,20.778662,0
8.97,11.56,1.31,0.674,G3V,19.28479,0
7.47,14.53,1.21,0.55,F8V,18.281328,0
8.13,22.09,0.71,0.71,G5V,19.850979,0
8.23,4.41,1.1,0.986,G9III,16.452192,1
8.41,8.49,0.77,0.461,F5V,18.054539,0
6.47,7.63,0.76,0.946,G8II,15.882622,1
7.73,19.78,0.87,0.537,G0V,19.211132,0
8.64,1.96,0.95,0.889,G6III,15.101281,1
6.32,6.95,0.81,1.099,G9III:,15.529924,1
8.97,5.12,1.34,0.86,G8/K0V,17.51635,0
7.53,23.9,0.85,0.577,G0V,19.42199,0
8.14,14.25,0.83,0.593,G0V,18.909073,0
6.71,6.66,0.75,0.068,A1Vn,15.827371,0
8.73,1.42,1.2,1.124,K1III,14.491442,1
7.1,6.27,0.87,1.128,K1III,16.086338,1
9.04,1.4,1.32,0.692,F2V,14.77064,0
9.3,10.28,1.33,0.538,F3/F5V,19.359966,0
8.49,62.48,0.82,1.076,K5V,22.468704,0
6.93,4.29,0.83,0.94,G8III/IV,15.092287,1
8.38,4.33,1.15,-0.06,B9V,16.562439,0
4.61,25.38,1.05,1.029,K1III,16.632458,1
8.56,229.33,1.08,1.462,M2V,25.362305,0
8.78,1.29,1.02,1.156,K2III,14.332949,1
7.42,9.55,0.76,0.191,A1Vs,17.320017,0
