Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
10.08,9.12,1.97,0.566,G0V,19.879974,0
9.31,12.38,1.24,0.69,G5V,19.773602,0
7.81,4.32,1.96,1.082,G8V,15.987419,0
8.38,2.79,1.07,0.362,F3V,15.608021,0
8.37,4.78,0.96,0.96,G8IV,16.76714,1
7.7,27.28,0.96,0.691,G5V,19.879223,0
9.14,3.28,1.34,1.127,K1III,16.71937,1
5.97,6.23,0.8,1.015,K0III,14.94244,1
8.55,5.55,1.2,0.449,F0II,17.271465,1
6.63,7.04,0.74,0.127,A3V,15.867864,0
9.72,1.62,1.45,0.458,F2V,15.767575,0
9.23,0.56,1.36,1.728,K5III,12.97094,1
5.75,26.83,0.96,0.443,F5V+...,17.893105,0
8.99,10.95,1.52,0.617,G2V,19.18707,0
4.96,79.09,0.83,0.618,G2V,19.450607,0
10.03,3.31,1.41,0.493,F3/F5V,17.629139,0
5.7,8.79,0.53,1.264,K2/K3III,15.419944,1
9.48,5.79,1.39,0.515,F7V,18.293392,0
8.6,18.51,1.19,0.763,G8V,19.937033,0
8.91,4.33,0.84,0.315,A8/A9IV,17.09244,1
8.48,0.95,1.03,1.461,K1V,13.368618,0
8.65,4.0,0.79,1.136,K1III,16.660301,1
8.45,3.06,1.07,0.924,K0III,15.878607,1
8.93,11.52,1.2,0.64,G2/G3V,19.237263,0
7.72,8.2,1.03,0.416,F3V,17.289068,0
8.14,2.73,0.9,0.933,K0III,15.320814,1
6.69,3.28,0.79,-0.026,B8IIIp (Si),14.269369,1
8.66,4.6,1.09,0.16,A3Vn,16.97379,0
5.7,10.71,0.71,-0.01,A0V,15.848947,0
5.63,12.61,0.68,-0.059,B9IV-V,16.133575,1
7.97,3.61,0.89,0.967,G8III,15.757536,1
7.81,3.38,0.75,1.351,K2III,15.454584,1
8.91,5.94,1.73,0.47,F5V,17.77893,0
8.83,6.32,0.76,0.956,K1III/IV,17.833586,1
5.25,15.02,0.72,1.044,K1II/III,16.13335,1
7.94,6.52,0.6,0.397,F0II/III,17.011238,1
7.45,20.45,0.99,0.617,G2/G3V,19.003468,0
9.82,4.88,1.51,1.18,F3/F5V,18.262098,0
6.35,2.24,0.74,-0.027,B8III,13.10124,1
7.97,7.59,0.7,0.578,F8IV/V,17.371208,1
9.11,9.37,1.62,0.521,F7V,18.968697,0
8.8,1.86,0.8,1.172,K2III,15.147565,1
5.52,57.63,0.64,0.551,F8V,19.323244,0
8.4,0.8,1.84,0.413,F2IV/V,12.915449,1
5.24,133.91,0.91,0.836,K1V,20.874065,0
8.09,3.07,1.1,0.832,G6IV,15.525692,1
7.18,3.0,0.92,1.414,K2/K3III,14.565606,1
6.98,3.12,0.91,1.306,K2II,14.450773,1
8.4,22.59,0.82,0.714,G6V,20.16958,0
8.35,3.06,1.06,0.955,G8III,15.778607,1
4.98,2.71,0.9,1.378,K3II-III,12.144846,1
8.88,4.92,1.18,1.031,K2V,17.339825,0
9.59,0.85,1.4,1.0,G8IIIp,14.237095,1
9.31,9.26,1.37,0.567,G1V,19.143055,0
9.09,5.75,1.22,0.379,F3V,17.88834,0
9.69,5.6,2.93,0.521,F5V,18.430939,0
8.96,2.44,0.87,1.025,G8III,15.89695,1
5.18,11.62,0.54,-0.022,B9V,15.506031,0
7.22,14.95,0.68,0.71,K0/K1III+..,18.093204,1
6.33,3.19,0.71,0.013,B7II,13.848953,1
8.79,1.05,1.26,1.168,K1III,13.8959465,1
7.69,2.97,1.11,1.45,K4III,15.0537815,1
9.27,5.43,1.38,0.529,F7V,17.944,0
8.75,5.78,1.93,0.493,F5V,17.559639,0
8.87,-0.11,1.38,2.024,M2Ib,9.076963,1
9.13,1.24,1.28,1.193,K2III,14.597109,1
9.4,2.45,0.97,0.9,G5/G6V,16.345829,0
8.92,1.59,0.84,1.106,K1/K2III,14.926986,1
8.26,2.86,0.75,1.075,K1III,15.54183,1
8.27,2.51,1.07,0.12,B9V,15.268369,0
6.82,0.24,0.88,1.874,M2.5II,8.721056,1
9.13,24.3,2.1,0.874,K2V,21.058033,0
9.43,-0.5,1.84,0.08,B7V,12.92485,0
8.23,30.58,2.09,0.853,K0V,20.657187,0
6.33,18.04,0.79,1.02,K2IV,17.611183,1
5.78,3.57,0.71,-0.01,B8IIIn,13.543341,1
10.34,3.05,3.42,0.335,A9V,17.7615,0
8.8,9.45,1.41,0.47,F5V,18.677158,0
10.93,88.86,1.99,1.525,M2V:,25.67353,0
6.57,6.59,0.77,1.075,K1III,15.664427,1
9.52,8.41,3.44,0.629,G1V,19.14398,0
11.13,15.11,2.17,1.183,K7V:,22.026321,0
7.97,6.1,0.74,1.077,K0III,16.896648,1
9.47,1.88,1.11,0.981,G6/G8IV,15.84079,1
8.53,2.19,0.98,1.011,K0III,15.23222,1
8.43,14.55,1.15,0.564,F7V,19.244316,0
8.87,3.03,1.56,1.19,K1III,16.277214,1
6.76,2.39,0.84,0.433,A7II,13.65199,1
4.01,4.55,0.75,-0.098,B2Vpe,12.300057,0
8.42,74.45,1.11,1.202,K5V,22.779324,0
9.55,0.39,1.45,0.868,B8Ib,12.505323,1
10.02,7.3,1.86,0.634,G2V,19.336615,0
7.99,4.18,0.89,1.286,K3III,16.09588,1
9.1,7.1,1.19,0.918,K1III,18.356293,1
8.84,3.09,1.2,1.106,K0III,16.289793,1
6.32,7.08,0.8,0.879,G8III-IV SB,15.570166,1
9.23,8.23,0.88,0.633,F7V,18.807,0
9.91,3.85,1.44,0.515,G2V,17.837303,0
8.62,1.44,1.17,0.943,G8III,14.411812,1
8.62,2.87,1.11,0.196,A3V,15.9094095,0
3.49,274.17,0.8,0.727,G8V,20.6801,0
9.38,0.15,1.86,0.58,G8III:,10.260456,1
7.31,1.61,0.9,1.22,F5Ia,13.34413,1
9.38,4.06,1.65,0.381,F0V,17.42263,0
9.03,3.72,1.28,1.609,M1III:,16.882713,1
6.18,12.63,0.77,0.131,A3V,16.687016,0
8.8,2.23,1.04,1.004,K1III,15.541525,1
8.11,17.29,1.09,0.635,G3V,19.298973,0
8.81,7.5,1.2,0.549,F7V,18.185307,0
10.66,0.63,2.17,0.505,B2V,14.656702,0
6.32,6.04,0.75,1.419,K5III,15.2251835,1
8.74,21.09,1.17,0.685,G6V,20.360382,0
8.08,3.05,1.03,0.995,G8III,15.501499,1
6.82,3.9,0.79,1.425,K3III,14.775324,1
8.79,2.51,1.27,1.266,K2III,15.788368,1
7.69,6.32,0.83,1.047,K0III,16.693586,1
8.34,4.54,1.23,1.085,K1III,16.625278,1
8.67,2.65,0.94,1.015,K0III,15.78623,1
8.58,4.98,1.2,1.02,G8V,17.066147,0
8.5,7.25,1.01,0.593,F8/G0V,17.80169,0
6.25,5.82,0.68,0.062,A2V,15.074615,0
8.83,5.72,2.06,0.6,F6/F7V,17.61698,0
10.17,1.91,1.37,0.474,F0V,16.575167,0
9.04,5.44,0.84,0.443,F5V,17.717995,0
8.46,0.88,1.14,1.097,K1III,13.182413,1
8.49,2.12,1.14,0.385,F2/F3IV/V,15.121679,1
6.27,30.71,0.81,0.72,G5IV,18.7064,1
6.95,5.66,0.94,1.574,M2III,15.714082,1
9.59,10.29,1.4,0.685,G8IV/V,19.652077,1
8.76,4.55,1.3,1.044,K0III,17.050056,1
9.9,4.83,1.87,0.506,F5V,18.319735,0
7.66,9.2,0.84,0.308,A8IV+...,17.47894,1
9.1,7.46,1.0,0.417,F3V,18.463696,0
9.28,7.58,1.19,0.519,F8V,18.678345,0
7.2,4.69,0.91,0.986,K0III,15.555864,1
9.09,2.76,1.43,1.478,K3/K4III:,16.294546,1
9.65,3.58,0.93,0.466,F0/F2IV/V,17.419415,1
8.7,4.58,0.88,0.954,G8III,17.004328,1
8.27,3.47,0.97,1.11,K0III-IV,15.971647,1
9.15,11.82,1.5,0.565,G0V,19.513088,0
8.51,14.28,1.16,0.609,G1/G2V,19.283642,0
8.97,8.47,1.09,0.574,G0V,18.609417,0
8.32,7.95,1.05,0.501,F6V,17.821835,0
9.56,13.56,1.04,0.665,G8V,20.221298,0
9.65,8.98,1.65,0.641,G3/G5V,19.416382,0
4.26,12.63,0.86,0.942,K0III,14.767016,1
7.35,7.19,0.78,0.501,F5III/IV,16.633644,1
8.38,3.53,1.3,0.781,K0/K1III+..,16.118874,1
8.61,1.24,1.12,0.978,G8III/IV,14.077108,1
8.77,8.55,1.12,0.38,F2III,18.42983,1
7.67,3.37,1.15,1.686,M1III,15.308149,1
5.29,36.46,1.01,0.395,F2IV,18.099083,1
10.82,4.31,1.84,0.222,A5V,18.992386,0
7.99,3.49,0.95,1.112,G5V,15.704127,0
8.74,6.25,1.07,0.556,F8IV,17.7194,1
9.89,11.38,1.7,0.787,K1IV,20.170712,1
9.27,5.5,1.45,0.528,F6V,17.971813,0
8.8,2.98,0.77,1.165,K2III,16.171082,1
8.99,3.99,1.27,0.26,B9V,16.994865,0
5.37,6.4,0.78,1.517,K4III,14.4009,1
7.69,1.02,0.98,1.004,G8III-IV,12.733001,1
8.71,19.4,1.25,0.657,G3V,20.14901,0
6.38,23.16,0.81,0.366,F2V,18.203693,0
8.7,2.31,1.29,-0.045,B1II,15.51806,1
9.88,10.53,2.99,0.545,F7/F8IV/V,19.992142,1
10.26,2.84,2.22,0.439,F2V,17.526592,0
8.83,-1.79,2.42,0.724,B5Iab,15.094265,1
5.49,4.8,0.63,1.615,M3III,13.896206,1
5.04,17.54,0.62,0.031,A1V,16.260147,0
9.16,6.17,1.38,0.546,F5/F6V,18.111425,0
8.37,11.18,1.08,0.428,F5V,18.61221,0
9.35,12.68,1.23,0.748,K0/1V (+K),19.865597,0
8.11,1.67,1.1,1.579,M1III,14.223581,1
9.83,4.59,1.67,0.559,F7/F8IV,18.139065,1
8.48,-0.68,1.16,0.651,B6Iab,12.642544,1
8.83,2.13,0.79,0.966,G8III/IV,15.471898,1
8.1,4.01,1.05,0.944,G8III/IV,16.115723,1
8.82,8.12,1.2,0.502,F5V,18.367779,0
6.55,4.61,0.87,0.256,A9III,14.868505,1
7.35,11.61,0.64,0.803,G8IV,17.674162,1
8.33,8.07,1.26,0.554,F7IV,17.864368,1
7.69,7.93,0.69,0.453,F5V,17.186365,0
8.34,4.09,1.16,1.14,K1III,16.398617,1
8.41,3.81,1.68,0.275,A7V,16.314625,0
8.1,7.67,1.1,0.944,K0IV,17.523977,1
9.25,10.03,1.0,0.681,G5V,19.256504,0
7.64,2.48,0.94,1.454,K5III,14.612258,1
7.35,14.29,0.97,0.606,G0V,18.12516,0
9.65,4.53,1.4,0.67,G1V,17.93049,0
8.25,2.9,0.96,1.039,K0III,15.561991,1
8.38,8.9,0.79,0.355,F0V,18.12695,0
8.81,9.74,1.26,0.46,F3V,18.752796,0
6.7,10.08,0.86,0.07,A1V,16.7173,0
8.48,-0.45,1.27,2.266,M2III,11.746062,1
9.43,10.6,0.93,0.588,G0V,19.55653,0
7.51,3.33,0.99,1.308,K3III,15.122221,1
9.46,4.02,1.28,1.237,K1III,17.48113,1
9.53,0.18,1.79,0.691,B9Iab,10.806362,1
7.74,5.04,0.99,1.114,G5III,16.252151,1
9.33,1.29,1.61,1.047,K0II/III,14.882949,1
8.15,1.83,0.97,1.075,K0III,14.4622555,1
7.37,5.11,0.84,0.167,A3V,15.912105,0
6.18,5.79,0.76,1.544,K5/M0III,14.993393,1
6.76,3.56,0.79,1.074,G9Ib,14.51725,1
7.61,5.55,0.92,0.254,A7III,16.331465,1
9.09,-1.8,1.56,0.644,B1.5Ia,15.366363,1
9.17,5.45,1.34,0.558,F6V,17.851982,0
9.44,9.74,1.52,0.519,F6V,19.382793,0
8.4,5.68,1.13,1.069,K1IIICN...,17.171741,1
8.09,1.53,0.71,1.083,K0III,14.013457,1
8.27,1.87,0.77,1.608,M1III,14.629209,1
9.8,1.42,1.48,0.515,F3V,15.561441,0
9.78,2.95,1.42,0.384,F2V,17.12911,0
7.02,2.12,0.84,1.666,M1/M2III,13.65168,1
8.09,1.27,0.96,1.499,K5III,13.609018,1
8.98,25.79,1.28,0.795,K0V,21.037256,0
6.55,4.11,0.89,1.389,K3III,14.619209,1
9.74,3.78,1.43,0.463,F3V,17.627459,0
8.65,7.78,0.71,0.43,F5IV/V,18.104897,1
7.96,5.81,1.33,0.544,F6/F7V,16.78088,0
8.84,2.58,1.08,-0.104,B8V,15.898098,0
9.46,8.92,1.33,0.585,F8IV,19.211824,1
8.45,5.13,1.99,0.976,K1III,17.000587,1
8.41,13.02,1.01,0.53,F5V,18.983055,0
9.74,30.78,1.6,1.144,K5V,22.181343,0
5.63,100.24,0.68,0.804,K0V,20.635204,0
8.85,2.38,1.16,1.255,K1/K2III,15.732885,1
6.05,16.13,0.52,0.338,F0III,17.088173,1
9.02,2.37,1.23,0.958,G8III,15.893742,1
8.74,2.83,1.14,1.18,K1III,15.998932,1
6.33,5.85,0.72,1.016,K0III,15.165779,1
6.33,17.15,0.78,0.461,F6V,17.50132,0
9.11,7.26,1.3,0.458,F5IV/V,18.414684,1
9.73,4.83,1.55,0.616,G3V,18.149734,0
9.69,8.25,1.07,0.626,G2IV/V,19.27227,1
9.44,1.82,1.49,0.984,G2III,15.740356,1
9.79,8.38,1.45,0.555,F8V,19.40622,0
9.46,9.9,1.38,0.546,G1V,19.438175,0
8.87,3.57,1.25,0.155,B9V,16.63334,0
8.25,3.27,0.82,1.059,K0III,15.822739,1
5.86,11.37,0.76,-0.039,B9.5V,16.138802,0
8.33,4.24,0.85,1.141,K2III,16.46683,1
9.08,5.23,1.28,0.482,F5V,17.672508,0
9.24,13.33,1.04,0.763,G8V,19.864151,0
9.57,9.22,1.58,0.602,G0V,19.393654,0
9.97,8.01,3.01,0.486,F8V,19.488163,0
7.13,22.16,0.77,0.637,G4V,18.85785,0
7.35,11.35,0.88,0.681,G2IV,17.62498,1
8.58,2.55,1.22,1.027,G8V,15.6127,0
8.59,4.02,1.16,0.36,F0V,16.61113,0
5.91,9.95,0.89,0.97,G9III,15.899115,1
9.29,-1.52,1.28,1.052,K0III,15.199218,1
8.03,4.52,0.7,0.947,K0III,16.30569,1
8.16,2.48,1.17,0.909,G8III,15.132257,1
7.43,1.05,0.9,0.279,B2Ib,12.535946,1
7.11,8.76,0.95,0.28,F0V,16.822521,0
8.37,7.86,1.09,0.485,F5V,17.847113,0
7.23,2.76,0.9,1.593,K5III,14.4345455,1
9.91,11.0,2.16,0.594,G3V,20.116964,0
9.15,0.28,1.4,1.223,K0III,11.38579,1
5.94,10.57,0.72,0.975,K0III,16.060375,1
9.6,3.57,1.38,0.552,F6V,17.363342,0
8.48,2.67,0.84,1.199,K2III,15.612556,1
9.76,3.98,1.36,0.567,F7IV,17.759415,1
7.57,10.89,0.82,0.43,F3V,17.755138,0
8.86,9.06,1.17,0.395,F3III/IV,18.645641,1
5.78,36.65,0.73,0.572,F8V,18.60037,0
7.9,5.91,0.89,0.469,F3/F5IV,16.757938,1
9.02,3.93,1.23,1.003,G8/K0IVp...,16.991962,1
9.23,1.06,1.29,0.91,K0III,14.356529,1
9.39,7.04,1.42,0.552,G2/G3V,18.627865,0
7.58,4.42,0.79,0.972,G8III,15.807111,1
8.34,6.17,1.48,1.2,G8V,17.291426,0
8.76,12.01,1.22,0.534,F6V,19.157715,0
7.64,4.43,0.73,-0.048,B9V,15.872019,0
9.48,6.54,1.36,0.67,G2V,18.557888,0
9.48,1.93,1.16,1.087,G8III,15.907785,1
9.45,4.4,1.05,0.434,F2V,17.667263,0
8.65,6.41,1.3,0.431,F3V,17.68429,0
8.23,6.55,1.01,0.412,F2V,17.311207,0
9.15,2.56,1.17,0.972,G8IV,16.1912,1
8.78,2.9,1.16,0.546,F6V,16.09199,0
9.68,3.53,1.42,0.326,A9V,17.418873,0
7.94,3.1,0.85,0.051,B9/B9.5V,15.396809,0
8.69,6.26,1.1,0.387,F2V,17.67287,0
6.01,9.84,1.05,0.17,A3V,15.974976,0
7.92,4.95,1.0,1.189,K2IIICN...,16.393024,1
8.87,10.54,1.19,0.544,F7V,18.984203,0
6.35,7.35,0.74,1.222,K2/K3III,15.681437,1
9.19,-0.76,1.23,1.547,M2III:,13.594068,1
8.02,1.24,1.03,1.521,K3/K4III:,13.487109,1
7.82,3.69,0.64,-0.079,B8V,15.655132,0
9.54,9.8,1.33,0.722,G6V,19.49613,0
8.64,7.3,2.04,0.909,K0III,17.956615,1
4.66,42.35,0.87,0.333,F3III,17.794268,1
7.93,20.46,0.91,0.664,G5V,19.484528,0
7.48,3.62,0.64,1.216,K0III,15.273542,1
8.57,9.21,1.08,0.463,F5V,18.391298,0
8.23,10.79,1.5,0.513,F5V,18.395107,0
9.65,-0.16,0.97,0.94,G6/G8III/IV,10.670599,1
8.44,1.51,0.79,1.3,K2III,14.334885,1
8.89,15.89,1.17,0.658,G5V,19.89562,0
9.25,1.2,1.34,0.891,G8III/IV,14.645906,1
9.09,5.56,3.66,0.659,G2V,17.815374,0
7.43,2.55,0.63,1.26,K1III,14.4627,1
6.37,36.89,0.72,0.523,F6V,19.204544,0
9.49,16.17,1.37,0.732,G6V,20.53355,0
9.7,2.43,1.55,0.464,F6V,16.62803,0
8.56,19.04,1.21,0.648,G8V,19.958336,0
7.43,10.97,1.01,0.621,G1IV,17.631033,1
7.2,2.84,0.86,1.599,K5III,14.466592,1
8.47,13.16,1.05,0.592,G1V,19.06628,0
8.07,4.95,1.26,0.87,F7V,16.543026,0
8.57,2.36,0.72,1.081,K0III,15.434559,1
8.2,9.41,1.53,0.5,F5V,18.067947,0
8.41,2.77,1.05,0.084,A1V,15.622398,0
8.26,4.52,1.14,0.912,G8III/IV,16.535692,1
7.88,7.09,0.76,1.075,K2III/IV,17.133232,1
8.32,4.27,1.23,1.048,K0III,16.47214,1
8.06,37.33,0.97,0.758,K1V,20.92029,0
5.83,5.68,1.09,0.743,K1III+...,14.601742,1
7.36,4.73,0.69,1.117,K2IIICN...,15.734306,1
6.88,0.22,0.99,1.631,M1III,8.5921135,1
9.22,6.94,0.89,0.55,F5/F6V,18.426798,0
6.14,6.65,0.66,0.998,K1IV,15.254108,1
8.44,5.18,1.15,0.875,G8IV,17.011648,1
8.66,1.39,1.1,1.507,K5III,14.375074,1
9.02,8.08,1.21,0.661,G5III,18.557056,1
8.56,4.7,0.79,0.241,A4III,16.92049,1
7.39,4.61,0.63,1.107,K0/K1III,15.708504,1
9.48,5.55,1.16,0.668,G5V,18.201466,0
7.61,2.86,0.83,1.285,K1III,14.89183,1
7.57,18.03,1.04,0.468,F6V,18.84998,0
7.95,3.52,0.93,1.415,M5III,15.682713,1
9.26,6.03,1.28,0.616,G0V,18.161587,0
9.51,14.64,1.1,0.74,G8V,20.337706,0
9.0,3.62,0.93,1.125,K1III,16.793543,1
9.77,6.98,1.34,0.434,F3V,18.989277,0
9.32,3.94,1.17,0.319,F0V,17.297482,0
5.92,23.46,1.02,0.302,F2Vw,17.77164,0
5.94,13.37,0.64,0.154,A1V,16.570658,0
9.1,0.92,1.07,1.137,K0III,13.91894,1
5.96,22.42,0.67,0.419,F5V,17.713177,0
7.42,4.37,0.69,1.395,K4III,15.622408,1
9.88,4.51,1.04,0.372,F0IV,18.150883,1
10.59,-4.78,4.18,0.962,F9Ib,18.98714,1
8.7,1.3,0.77,1.33,K3III,14.269716,1
8.99,1.64,1.34,0.463,F3V,15.0642185,0
9.19,11.87,0.9,0.525,F5V,19.562252,0
7.2,14.41,0.91,0.47,F5V,17.99332,0
6.54,0.02,0.8,2.215,K5Ia0-a...,3.0451503,1
8.78,3.5,1.02,0.576,F6V,16.50034,0
7.98,3.09,2.04,0.13,B8V,15.429792,0
9.25,5.89,1.27,0.407,F2/F3V,18.100576,0
9.23,3.97,1.54,0.46,F2/F3V,17.223953,0
6.44,7.25,0.71,1.094,K1IIICN...,15.74169,1
7.06,3.01,0.8,1.314,K2/K3III,14.452833,1
10.67,3.68,3.1,0.375,F0V,18.499239,0
3.74,12.59,0.85,1.136,K2III,14.240128,1
8.5,6.38,1.14,0.541,F7V,17.524103,0
9.02,1.15,1.31,0.163,A4III,14.323489,1
9.18,0.46,1.24,1.168,K2III,12.49379,1
8.6,5.67,1.16,0.515,F5V,17.367916,0
8.79,5.13,1.14,0.325,A8/A9V,17.340588,0
9.23,2.6,1.32,0.32,B9V,16.304867,0
6.95,2.45,0.91,1.518,K4III,13.89583,1
8.96,18.3,1.39,0.693,G6IV/V,20.272255,1
9.8,8.92,1.47,0.79,G6/G8V,19.551825,0
9.22,6.86,0.9,0.368,F3V,18.40162,0
8.48,9.21,0.68,0.511,F5V,18.301298,0
6.44,4.05,0.87,1.608,M2III,14.477276,1
6.59,8.71,0.86,1.102,K2III,16.29009,1
7.83,1.88,0.84,1.215,K2III,14.200789,1
9.74,2.17,1.53,0.25,B8V,16.422298,0
7.43,10.61,0.83,0.539,F6V,17.558577,0
8.68,5.65,1.05,0.436,F5IV/V,17.440243,1
8.07,7.35,0.91,0.419,F3/F5IV,17.401436,1
8.55,4.28,0.95,1.051,K0III,16.707218,1
8.08,3.8,0.75,1.242,K3IIICN...,15.978918,1
8.95,32.38,0.87,0.888,K1V,21.501385,0
5.53,3.17,0.66,-0.175,B1.5V,13.035297,0
9.08,6.93,1.19,0.567,G0V,18.283667,0
8.04,4.46,0.92,0.951,G8III,16.286674,1
8.1,10.83,0.7,0.436,F3/F5V,18.273142,0
9.26,4.59,1.29,0.3,A7IV,17.569065,1
9.95,0.6,1.66,0.251,B8V,13.840756,0
6.74,8.67,0.89,1.136,K0III,16.430096,1
7.97,3.66,0.87,0.1,A2/A3V,15.787405,0
8.08,12.7,0.94,0.421,F3V,18.599018,0
8.34,9.63,1.52,0.5,F5V,18.258133,0
9.38,3.36,1.54,0.187,O8V,17.011696,0
9.39,8.3,1.3,0.593,F7V,18.98539,0
8.33,3.61,0.92,0.1,A3V,16.117537,0
9.6,25.59,1.39,0.958,K2V,21.640352,0
8.81,5.36,1.04,1.13,K0/K1III,17.455826,1
7.83,2.86,0.91,1.199,K2III,15.11183,1
9.5,6.12,1.24,0.569,G3V:,18.433758,0
8.61,6.53,1.1,0.52,F6/F7V,17.684566,0
8.02,6.29,0.91,0.269,A7V,17.013252,0
9.11,8.29,1.06,0.546,F7V,18.702772,0
9.73,6.01,1.0,0.54,F7V,18.624372,0
8.95,3.48,1.14,0.475,F3/F5IV/V,16.657896,1
7.91,7.61,0.95,0.423,F3V,17.316923,0
6.77,4.36,0.49,-0.05,B9V,14.967432,0
9.8,5.8,1.29,0.533,F8/G0V,18.61714,0
9.17,4.43,1.16,0.393,F0V,17.40202,0
8.8,13.31,1.1,0.618,G0V,19.42089,0
7.41,0.57,1.03,1.389,K2III,11.189374,1
8.97,7.86,1.21,0.567,G0V,18.447113,0
7.86,1.99,0.77,1.671,M2III,14.354265,1
8.25,1.86,0.73,1.026,K0II,14.597565,1
8.89,90.17,1.37,1.424,K5/M0V,23.66531,0
8.13,4.62,1.0,0.999,K0III,16.453209,1
7.51,18.58,0.97,0.607,G0V,18.855228,0
6.28,6.59,0.71,0.05,A3V,15.374428,0
9.9,-1.16,2.37,0.33,A0Ib,15.22229,1
9.55,6.26,1.16,0.436,F3V,18.532871,0
5.78,9.87,0.79,0.26,F0V,15.751587,0
9.33,7.56,0.95,0.5,F7V,18.722609,0
8.27,3.09,0.66,0.075,A0IV/V,15.719793,1
8.03,7.01,0.93,0.237,A5III/IV,17.25859,1
9.57,3.2,1.39,0.667,G5/G6V:w,17.095749,0
7.91,6.18,0.74,1.184,K2III,16.864943,1
9.06,0.28,0.76,1.433,K3III,11.295791,1
8.33,2.07,1.28,1.047,K0III,14.909851,1
9.98,4.43,1.14,0.546,F8V,18.212019,0
8.2,13.95,1.02,0.525,F7V,18.92287,0
9.24,3.75,1.32,0.497,F5V,17.110157,0
3.42,50.87,0.82,0.488,F6IV,16.952309,1
8.76,16.32,0.86,0.727,G5V,19.8236,0
8.62,4.21,0.83,1.248,K2III,16.74141,1
9.27,6.92,2.51,0.61,G1V,18.470531,0
6.86,4.29,0.85,1.475,K5III,15.022287,1
8.16,13.68,0.97,0.468,F5V,18.84043,0
10.13,6.79,1.66,0.503,F5V,19.289349,0
9.16,0.5,0.97,1.074,K0III,12.65485,1
7.87,3.96,1.04,1.047,K0III,15.858476,1
9.71,4.47,1.01,0.44,F3IV/V,17.961536,1
5.42,6.04,0.79,1.311,K1III,14.325184,1
8.16,0.04,1.29,1.57,K5III,6.1702995,1
6.09,8.62,0.72,1.125,K1/K2III,15.767536,1
9.35,0.87,2.47,0.43,B0III,14.047597,1
8.21,3.71,1.02,1.1,G9III-IV,16.05687,1
7.35,3.47,0.87,1.169,K0III,15.051647,1
7.07,9.28,1.02,0.483,F6III,16.90774,1
9.62,1.75,1.26,1.116,K2/K3III,15.83519,1
9.31,24.12,1.34,0.988,K1/K2V,21.221886,0
8.05,8.64,0.75,1.072,K1III,17.732569,1
4.61,17.11,0.77,0.928,K0III SB,15.776251,1
8.25,7.61,1.14,0.416,F4V,17.656923,0
4.39,10.15,0.6,1.597,M4III SB,14.422329,1
8.47,5.95,0.77,0.956,K0III/IV,17.342585,1
9.37,8.68,0.99,0.581,F7V,19.0626,0
12.2,14.47,3.89,1.294,K7V:,23.002342,0
9.6,5.72,1.68,0.425,F3/F5V,18.38698,0
8.73,5.52,1.13,1.119,K1IVCN...,17.439695,1
8.33,11.64,0.76,0.682,G1IV,18.659765,1
9.46,1.89,1.24,1.024,G8/K0III,15.842309,1
8.87,2.04,1.23,1.029,K0III,15.418151,1
9.4,5.45,1.36,0.876,K0IV/V,18.081982,1
6.77,23.97,0.97,0.468,F5V,18.66834,0
9.81,8.2,1.28,0.689,G6V,19.37907,0
8.97,6.48,1.22,0.595,G3V,18.027874,0
9.7,26.57,1.77,1.04,K5V,21.821957,0
7.01,6.62,0.55,0.293,A8IV/V,16.11429,1
9.78,4.89,1.41,0.487,F7V,18.226543,0
7.94,0.44,0.77,1.435,K4III,11.157263,1
7.34,3.15,0.65,1.496,M0III,14.8315525,1
8.03,2.51,1.17,1.077,K0III,15.028368,1
8.09,3.71,0.92,1.365,K3III,15.93687,1
8.19,2.95,1.13,1.18,K1IVCN...,15.53911,1
9.15,27.05,1.23,0.887,K2V,21.310837,0
5.12,10.55,0.69,-0.06,A3V,15.236262,0
8.34,2.65,0.75,1.268,K2III,15.45623,1
9.63,1.3,1.82,0.385,F0V,15.199717,0
8.79,0.04,1.18,0.979,K0III,6.8002996,1
8.34,3.86,2.85,0.158,B9IV,16.272938,1
10.03,3.85,1.22,0.49,F5/F6V,17.957302,0
8.27,6.09,0.97,0.511,F3V,17.193087,0
2.64,54.74,0.75,0.165,A5V...,16.331524,0
8.89,5.75,2.28,0.991,G8III,17.68834,1
8.79,2.03,1.3,0.062,B9V,15.32748,0
9.12,2.46,0.84,1.682,M1III,16.074677,1
8.52,4.19,1.06,1.015,G8III,16.631071,1
8.24,13.76,1.07,0.638,G3V,18.933092,0
11.94,10.46,3.97,1.37,M0V:,22.037659,0
7.63,5.51,1.02,0.987,K1II-III,16.335758,1
4.68,15.04,0.47,0.931,G5III,15.56624,1
6.82,-0.52,0.79,1.151,G2Ib,10.400017,1
9.81,7.69,1.68,0.469,F7V,19.239632,0
8.65,4.93,0.98,0.37,F2IV,17.114235,1
8.88,2.79,0.81,1.143,K0III,16.10802,1
6.92,3.62,0.98,1.289,K2/K3III,14.713543,1
8.78,0.16,1.17,1.137,G3/G5III,9.8006,1
8.16,7.89,1.06,0.424,F2V,17.645386,0
8.41,8.94,0.8,0.464,F5V,18.166687,0
12.49,22.93,5.47,1.34,M0V:,24.292019,0
8.52,4.95,1.09,0.193,A2IV/V,16.993027,1
7.72,1.53,0.85,0.056,A0II,13.643457,1
